CustomerID,Purchase Date,Revenue,Product
00130000002auK4,2016-08-25,11.90,Coffee
00130000002auK4,2017-06-12,9.00,Porcelain. Glas & Co.
00130000002dn03,2016-03-16,1.00,Milk products
00130000002dn03,2016-08-03,1.00,Pastries and sweets
00130000002dn03,2018-01-24,0.99,BIO products
00130000002dnIG,2015-10-30,10.00,Books
00130000002dnIG,2016-03-17,1.00,Tea
00130000002dnIG,2016-09-23,66.19,Vegetables
00130000002dnIG,2017-04-26,83.69,Porcelain. Glas & Co.
00130000002dnIG,2018-01-18,28.25,Pastries and sweets
00130000002dnIG,2020-04-06,17.89,BIO products
00130000002dnIh,2018-04-30,21.00,Books
00130000002dnIh,2018-06-15,9.00,Vegetables
00130000002dnIh,2019-08-07,722.03,Porcelain. Glas & Co.
00130000002dnIh,2019-08-22,21.47,BIO products
00130000002dnIh,2019-10-16,150.78,Books
00130000002dnIh,2019-10-16,17.89,Tea
00130000002dnIh,2020-05-03,5.67,Coffee
00130000002dq8Z,2019-08-17,15.89,Milk products
00130000002dqY6,2016-09-11,9.00,Pastries and sweets
00130000002dqY6,2018-07-17,11.50,BIO products
00130000002eWFR,2016-06-30,1.00,Books
00130000002fxqt,2015-07-13,11.90,Soft Drinks
00130000002fxqt,2017-01-05,10.12,Tea
00130000002fxqt,2018-03-28,41.04,Coffee
00130000002hvyA,2018-07-03,10.45,Tea
00130000002hvyA,2018-07-16,43.18,Porcelain. Glas & Co.
00130000002hvyA,2018-09-26,17.99,Soft Drinks
00130000002hvyA,2018-10-01,0.99,Tea
00130000002hvyA,2020-01-27,15.20,Coffee
00130000002hw3z,2017-01-11,161.84,Meat & fish
00130000002hw3z,2018-08-31,75.74,Coffee
00130000002iDeJ,2015-08-25,9.00,Pastries and sweets
00130000002iDeJ,2016-04-28,1.00,BIO products
00130000002iDf4,2020-10-29,350.00,Books
00130000002ifFx,2015-05-29,0.99,Tea
00130000002ifFx,2016-11-25,52.73,Coffee
00130000002ifFx,2018-01-25,35.05,Pastries and sweets
00130000002ifFx,2018-05-28,27.98,BIO products
00130000002igbA,2017-02-08,26.24,Books
00130000002iH7w,2017-07-20,7.90,Tea
00130000002iH7w,2019-07-23,100.45,Coffee
00130000002iH7w,2020-01-29,20.60,Porcelain. Glas & Co.
00130000002l0Zr,2019-08-13,0.99,Milk products
00130000002nv4q,2015-12-29,1.00,Pastries and sweets
00130000002nx0j,2017-09-14,109.02,BIO products
00130000002Pl2B,2015-09-15,1.00,Books
00130000002Pl2B,2016-02-12,1.00,Soft Drinks
00130000002Pl2B,2018-02-27,1.49,Tea
00130000002Pl2B,2018-12-26,11.66,Coffee
00130000002Pl2B,2019-01-14,31.00,Tea
00130000002Pl2B,2019-04-30,13.59,Milk products
00130000002Pl2B,2019-06-04,5.70,Milk products
00130000002Pl2B,2019-06-04,17.10,Tea
00130000002Pl2B,2019-07-19,20.64,Coffee
00130000002Pl2B,2019-10-21,11.70,Meat & fish
00130000002Pl2B,2020-01-27,42.93,Tea
00130000002Pl2B,2020-06-01,12.38,Coffee
00130000002rG4z,2018-10-30,21.59,Milk products
00130000002rG4z,2019-01-02,157.75,Pastries and sweets
00130000002rHCm,2015-04-13,9.00,BIO products
00130000002rHCm,2019-03-10,1.99,Books
00130000002RWBQ,2018-06-26,37.20,Soft Drinks
00130000002sPVR,2015-07-22,4.30,Meat & fish
00130000002uZHF,2019-10-25,186.77,Tea
00130000002v6e7,2015-07-01,20.64,Vegetables
00130000002v6e7,2015-07-23,9.00,Soft Drinks
00130000002v6e7,2015-09-21,1.00,Meat & fish
00130000002v6KZ,2015-05-26,53.87,Vegetables
00130000002v6KZ,2017-09-25,9.00,Coffee
00130000002v6KZ,2017-11-16,0.00,Tea
00130000002v6KZ,2018-09-21,9.00,Coffee
00130000002v6LN,2018-02-20,9.00,Tea
00130000002XX3o,2015-06-25,26.86,Soft Drinks
00130000002XXEi,2015-10-28,1.00,Tea
00130000002yQUk,2016-07-29,1.00,Vegetables
00130000002yz6A,2015-07-14,27.88,Coffee
00130000002yz6A,2017-03-13,30.56,Soft Drinks
001300000030NqB,2015-05-29,0.99,Tea
001300000030OHE,2018-09-27,33.25,Vegetables
001300000030OHE,2018-09-27,4.75,Coffee
001300000031b2Y,2019-07-11,25.56,Tea
0013000000346yS,2016-12-28,19.64,Soft Drinks
0013000000346yS,2018-08-29,42.07,Vegetables
0013000000348OT,2019-11-01,17.89,Coffee
001300000034qPm,2015-07-15,15.34,Tea
001300000036lmj,2017-11-16,33.05,Coffee
001300000036mRl,2017-11-06,17.09,Porcelain. Glas & Co.
001300000036mSg,2017-09-25,27.88,Milk products
001300000036mTh,2018-02-09,78.45,Milk products
001300000036nsC,2020-04-06,42.94,Soft Drinks
001300000036o79,2019-10-21,11.99,Tea
001300000036o79,2019-10-21,11.60,Vegetables
001300000036oTz,2016-11-03,26.50,Coffee
001300000036oTz,2019-05-30,9.00,Milk products
00130000003Aej5,2018-11-26,18.00,Soft Drinks
00130000003AfHR,2015-07-23,54.60,Vegetables
00130000003AfHR,2017-03-10,11.12,Coffee
00130000003AfHR,2018-02-27,13.50,Porcelain. Glas & Co.
00130000003AfHR,2018-04-20,15.89,Pastries and sweets
00130000003AfHR,2018-05-08,82.76,BIO products
00130000003AfHR,2018-05-08,17.20,Books
00130000003BVjY,2017-01-05,11.34,Soft Drinks
00130000003Ea9V,2018-07-16,14.39,Tea
00130000003Ea9V,2018-07-20,9.00,Vegetables
00130000003EaBC,2018-10-17,40.49,Coffee
00130000003EaBC,2019-09-27,6.44,Porcelain. Glas & Co.
00130000003EaCQ,2018-04-26,16.20,Soft Drinks
00130000003EaCQ,2018-09-04,43.56,Tea
00130000003EaCQ,2018-09-04,9.99,Vegetables
00130000003EaCQ,2018-09-28,17.81,Milk products
00130000003EZKk,2017-10-18,19.20,Soft Drinks
00130000003nBG1,2015-06-16,37.49,Vegetables
00130000003nBG1,2015-10-27,1.00,Coffee
00130000003nBG1,2016-05-23,1.00,Pastries and sweets
00130000003nBG1,2016-10-03,26.24,BIO products
00130000003nBG1,2016-10-28,10.70,Books
00130000003nBG1,2016-12-14,70.98,Soft Drinks
00130000003nBG1,2017-01-12,9.46,Tea
00130000003nBG1,2018-06-25,59.00,Coffee
00130000003nBG1,2018-06-29,8.67,Soft Drinks
00130000003nBG1,2018-10-07,277.08,Tea
00130000003nBG1,2019-03-27,15.89,Coffee
00130000003nBG1,2019-04-19,11.88,Milk products
00130000003nBG1,2020-04-30,21.47,Soft Drinks
00130000003Sdox,2016-09-04,59.20,Tea
00130000003xrcr,2015-05-27,9.00,Coffee
00130000003xrcr,2015-12-29,1.00,Pastries and sweets
00130000003yrev,2017-06-12,8.88,BIO products
00130000003yrev,2018-02-19,17.89,Books
00130000003Zgnd,2019-07-01,22.88,Tea
00130000003Zgnn,2015-05-18,45.24,Porcelain. Glas & Co.
00130000003Zgnn,2015-05-18,16.65,Meat & fish
00130000003Zgnn,2015-06-15,42.00,Coffee
00130000003Zgnn,2016-06-09,1.69,Soft Drinks
00130000003Zgnn,2016-07-20,1.00,Vegetables
00130000003Zgnn,2019-04-03,41.05,Porcelain. Glas & Co.
00130000003Zgnt,2016-01-26,1.00,Tea
00130000003ZgnZ,2016-11-28,145.33,Vegetables
00130000004HaHS,2019-05-09,35.78,Soft Drinks
00130000004hd0j,2020-10-22,46.26,Vegetables
00130000004hd0j,2020-01-19,1.00,Coffee
00130000004m1me,2017-06-28,64.48,Porcelain. Glas & Co.
00130000004mc25,2015-06-24,25.19,Pastries and sweets
00130000004PRMp,2017-07-14,0.99,BIO products
00130000004PRMp,2019-05-12,122.59,Books
00130000004PRMp,2019-07-12,15.89,Tea
00130000004simM,2019-05-04,0.99,Soft Drinks
00130000004snzO,2019-03-20,21.47,Meat & fish
00130000004T74u,2016-02-04,1.00,Vegetables
00130000004T74u,2016-10-03,17.04,Coffee
00130000004WbUp,2018-01-09,20.39,Pastries and sweets
00130000004ZElM,2015-12-25,1.00,Milk products
00130000005H9lV,2020-01-14,11.90,BIO products
00130000005S8zf,2018-09-21,17.99,Books
00130000005TrxQ,2016-03-22,1.00,Soft Drinks
00130000005TrxQ,2016-05-30,1.00,Tea
00130000005TrxQ,2016-05-31,1.00,Coffee
00130000005TrxQ,2016-06-30,1.00,Milk products
00130000005TrxQ,2016-07-28,15.89,Coffee
00130000005TrxQ,2016-08-19,76.00,Porcelain. Glas & Co.
00130000005TrxQ,2017-01-20,8.52,Soft Drinks
00130000005TrxQ,2019-07-04,50.82,Vegetables
00130000005vexL,2020-01-14,6.49,Tea
00130000005xf3Q,2015-10-29,1.00,Soft Drinks
00130000005YmFO,2015-10-23,0.69,Vegetables
00130000005YmFO,2015-11-26,1.00,Pastries and sweets
00130000005YmTK,2015-06-24,33.00,BIO products
00130000005YmTK,2015-06-24,15.39,Books
001300000066OKE,2018-03-22,17.89,Soft Drinks
00130000006BJMG,2015-07-14,28.14,Meat & fish
00130000006BJMG,2015-09-30,1.00,Vegetables
00130000006DIDD,2015-05-28,9.00,Coffee
00130000006DIDD,2015-10-30,1.00,Tea
00130000006DIDD,2018-09-24,58.80,Pastries and sweets
00130000006UaCV,2018-01-09,30.40,BIO products
00130000006UaG1,2015-10-30,1.69,Books
00130000006UaG2,2018-05-24,0.99,Coffee
00130000006UaGL,2018-03-22,8.10,Books
00130000006UaGL,2019-11-28,6.22,Soft Drinks
00130000006UajL,2019-08-03,6.49,Tea
00130000006Uana,2018-12-25,17.89,Vegetables
00130000006UanF,2020-10-29,9.00,Porcelain. Glas & Co.
00130000006UanW,2017-11-02,21.09,Soft Drinks
00130000006UanW,2018-04-24,27.98,Meat & fish
00130000006UanW,2019-04-17,32.53,Pastries and sweets
00130000006UanW,2019-06-28,100.40,BIO products
00130000006UanW,2019-10-18,96.31,Books
00130000006UarA,2017-01-28,31.89,Meat & fish
00130000006UarA,2019-06-13,53.48,Milk products
00130000006UaSz,2019-09-20,17.04,Books
00130000006Uauh,2019-03-07,0.99,Coffee
00130000006Ub2c,2016-04-26,2.00,Soft Drinks
00130000006Ub2f,2017-01-25,76.68,Tea
00130000006Ub2f,2017-03-14,12.04,Coffee
00130000006Ub2g,2018-06-28,21.82,Coffee
00130000006x1xR,2016-06-28,1.10,Soft Drinks
0013000000799tv,2019-11-04,15.89,Vegetables
